video_id,video_url,year,duration,fps,resolution
JNHbKAR2YvU,https://www.youtube.com/watch?v=JNHbKAR2YvU,2014,235.8,25,1920x1080
YSSAzuoG_rQ,https://www.youtube.com/watch?v=YSSAzuoG_rQ,2014,302.56,25,1920x1080
hJb6sTLnY80,https://www.youtube.com/watch?v=hJb6sTLnY80,2014,362.16,25,1920x1080
C6jYc9536Vs,https://www.youtube.com/watch?v=C6jYc9536Vs,2014,229.52,25,1920x1080
Hh4aUb-WAns,https://www.youtube.com/watch?v=Hh4aUb-WAns,2014,307.6,25,1920x1080
-OFL9l7_y2g,https://www.youtube.com/watch?v=-OFL9l7_y2g,2014,210.12,25,1920x1080
XXjMMAUI0GQ,https://www.youtube.com/watch?v=XXjMMAUI0GQ,2014,235.48,25,1920x1080
ox4gxQSylfw,https://www.youtube.com/watch?v=ox4gxQSylfw,2014,342,25,1920x1080
7e1kVpP0Gp0,https://www.youtube.com/watch?v=7e1kVpP0Gp0,2014,258.08,25,1920x1080
pe7AcaNbW88,https://www.youtube.com/watch?v=pe7AcaNbW88,2014,508.16,25,1920x1080
TUkmZNnUamY,https://www.youtube.com/watch?v=TUkmZNnUamY,2014,247.56,25,1920x1080
SDHinm2pPvM,https://www.youtube.com/watch?v=SDHinm2pPvM,2014,207.88,25,1920x1080
HMwRrrpSDVw,https://www.youtube.com/watch?v=HMwRrrpSDVw,2017,302.28,25,1920x1080
n0RWMrEcm9U,https://www.youtube.com/watch?v=n0RWMrEcm9U,2017,266.92,25,1920x1080
yoF-3w5sQQk,https://www.youtube.com/watch?v=yoF-3w5sQQk,2017,319.08,25,1920x1080
VYrzsTehlcE,https://www.youtube.com/watch?v=VYrzsTehlcE,2017,278.36,25,1920x1080
stnvERm9zBc,https://www.youtube.com/watch?v=stnvERm9zBc,2017,291.32,25,1920x1080
JOB70zcE7IM,https://www.youtube.com/watch?v=JOB70zcE7IM,2017,282.04,25,1920x1080
9Nb7nQmm3Dc,https://www.youtube.com/watch?v=9Nb7nQmm3Dc,2017,318.4,25,1920x1080
gPru76IYdEo,https://www.youtube.com/watch?v=gPru76IYdEo,2017,461.68,25,1920x1080
8lugwBoAKrg,https://www.youtube.com/watch?v=8lugwBoAKrg,2017,311.04,25,1920x1080
60EX6Tx_GvY,https://www.youtube.com/watch?v=60EX6Tx_GvY,2017,275.16,25,1920x1080
Ptg3shx8SHQ,https://www.youtube.com/watch?v=Ptg3shx8SHQ,2017,315.28,25,1920x1080
0_Kq3IQQMNA,https://www.youtube.com/watch?v=0_Kq3IQQMNA,2017,355.08,25,1920x1080
SZEQrtZUMqo,https://www.youtube.com/watch?v=SZEQrtZUMqo,2017,325.56,25,1920x1080
zsE4Lb1-MmE,https://www.youtube.com/watch?v=zsE4Lb1-MmE,2017,382.84,25,1920x1080
-q9ecA3Hq_E,https://www.youtube.com/watch?v=-q9ecA3Hq_E,2017,290.52,25,1920x1080
CCq67gNRKTw,https://www.youtube.com/watch?v=CCq67gNRKTw,2018,287.28,25,1920x1080
wBYRyLAF1v8,https://www.youtube.com/watch?v=wBYRyLAF1v8,2018,251.64,25,1920x1080
XkqFeIQ-e98,https://www.youtube.com/watch?v=XkqFeIQ-e98,2018,399.8,25,1920x1080
y_T6mP97gmE,https://www.youtube.com/watch?v=y_T6mP97gmE,2018,214.72,25,1920x1080
je265bdPIEU,https://www.youtube.com/watch?v=je265bdPIEU,2018,391.68,25,1920x1080
2Ui_xim3XXc,https://www.youtube.com/watch?v=2Ui_xim3XXc,2018,532.52,25,1920x1080
Ow8cbsVCGoE,https://www.youtube.com/watch?v=Ow8cbsVCGoE,2018,398.48,25,1920x1080
JwaxirDpmOA,https://www.youtube.com/watch?v=JwaxirDpmOA,2018,246.36,25,1920x1080
axnY0XitBIo,https://www.youtube.com/watch?v=axnY0XitBIo,2018,216,25,1920x1080
ws8ipOc_2hY,https://www.youtube.com/watch?v=ws8ipOc_2hY,2018,342.84,25,1920x1080
j_LtCCX-4Yc,https://www.youtube.com/watch?v=j_LtCCX-4Yc,2018,252.36,25,1920x1080
aPCmlKU9H70,https://www.youtube.com/watch?v=aPCmlKU9H70,2018,262.92,25,1920x1080
g2M6lxqsIvM,https://www.youtube.com/watch?v=g2M6lxqsIvM,2018,407.32,25,1920x1080
l2Sb3KlMn3c,https://www.youtube.com/watch?v=l2Sb3KlMn3c,2018,289.8,25,1920x1080
ILuhYlZOqcE,https://www.youtube.com/watch?v=ILuhYlZOqcE,2018,375.96,25,1920x1080
pdNP0-pSpTQ,https://www.youtube.com/watch?v=pdNP0-pSpTQ,2020,265.68,25,1920x1080
jmLSoBxxyhc,https://www.youtube.com/watch?v=jmLSoBxxyhc,2020,338.16,25,1920x1080
R6vHm_97eBA,https://www.youtube.com/watch?v=R6vHm_97eBA,2020,275.12,25,1920x1080
YRdkxsfoo9c,https://www.youtube.com/watch?v=YRdkxsfoo9c,2020,255.08,25,1920x1080
vWRZ6hdlwYo,https://www.youtube.com/watch?v=vWRZ6hdlwYo,2020,290.52,25,1920x1080
J8DNK2qLe-s,https://www.youtube.com/watch?v=J8DNK2qLe-s,2020,274,25,1920x1080
ne_w_zaNOLs,https://www.youtube.com/watch?v=ne_w_zaNOLs,2020,300.76,25,1920x1080
x3uelTisF6g,https://www.youtube.com/watch?v=x3uelTisF6g,2020,286.52,25,1920x1080
TsucYFPm6Q8,https://www.youtube.com/watch?v=TsucYFPm6Q8,2020,224.36,25,1920x1080
zvWiTWT3T2M,https://www.youtube.com/watch?v=zvWiTWT3T2M,2020,239.44,25,1920x1080
Pan5R6HxlgI,https://www.youtube.com/watch?v=Pan5R6HxlgI,2020,273.44,25,1920x1080
f4PNzVPs5aY,https://www.youtube.com/watch?v=f4PNzVPs5aY,2020,242.88,25,1920x1080
qrmkQKLEcAw,https://www.youtube.com/watch?v=qrmkQKLEcAw,2020,339.16,25,1920x1080
vgs2VXp78bc,https://www.youtube.com/watch?v=vgs2VXp78bc,2020,295.56,25,1920x1080
